words,frequency
terminal,16
termonal,1
tes,2
tese,1
tesing,1
tesst,1
test,1282
testbore,1
testcal,1
testing,3
testoverhaul,1
testrun,1
testrunfire,1
tfu,38
tg,4
thai,3
thank,1
tharmal,2
the,3
themo,1
themoscanvisual,1
theomo,1
thermal,98
thermo,17
thermoscan,12
thermostat,3
thickness,29
thinkness,3
through,1
tia,1
tic,3
tics,1
tie,80
tieing,1
tig,3
tighten,14
time,2
timer,4
tirp,2
tk,3
tle,30
tls,11
tmt,1
tnk,1
to,747
toc,18
tool,12
top,53
torque,88
torquemeter,3
torsional,2
total,1
totalizer,2
touch,13
tower,45
tp,1
tpm,1
tr,5
tracing,13
tracking,1
train,4
tramitter,1
trans,2
transamitter,1
transfer,14
transformer,19
transition,6
transmister,2
transmiter,2
transmitte,1
transmitter,353
transmitteradd,1
transmittercheck,2
transmitterflushing,1
transport,1
transpot,9
trap,98
trapstop,2
trapvisual,3
trasformer,1
trashing,1
trasnspot,1
tray,5
treather,1
treatment,1
tresing,1
trey,1
triage,7
trim,1
trip,20
trnsmittterbm,1
trolley,4
trollry,1
trouble,1
trstrun,1
truck,16
tt,107
ttv,1
tube,224
tubes,1
tubesheet,4
tubing,5
tubqe,1
tuning,2
turbid,8
turbidity,45
turbine,3
turbo,4
tv,2
tw,69
two,1
tx,12
type,10
typical,1
u,5
uc,1
ue,1
uint,1
ultrasonic,3
umc,4
un,4
under,1
underground,1
uning,1
union,2
unisoft,2
unit,36
unlaod,1
unload,15
unplug,12
up,113
update,4
upgrade,5
upload,4
upper,4
ups,47
uptorque,1
upvc,2
usage,1
use,2
used,2
user,3
ut,24
utm,52
utmbore,1
utmptbore,4
utmvisual,1
utpa,3
v,89
vabration,1
vaccum,8
vacuum,85
vacuumwater,1
vad,1
vaive,1
vakidation,1
vale,2
validarion,1
validate,1
validation,261
valve,662
vant,1
vantilation,4
vapor,1
vave,1
vavle,1
vavuum,1
vender,3
vendor,3
vent,34
ventilation,37
ventmaster,1
venturi,2
ventury,1
verify,97
version,1
vertex,1
vertify,1
vf,2
vgu,2
vgv,1
viaual,5
viausl,2
vibartion,1
vibation,1
vibearion,1
vibeation,1
vibraation,1
vibratioin,2
vibration,435
vibrotion,1
vibrrtion,1
vibrtion,1
vibtation,1
vibtion,1
vicktolic,1
victaulic,1
victualic,1
victuallic,1
video,1
view,1
vip,1
viratibration,1
viration,4
virbration,1
virus,3
visalu,1
visaul,2
visit,2
visua,1
visual,245
visul,1
visula,1
vitorlic,1
viversion,1
vlave,2
voc,36
vocremove,1
vocs,15
volt,2
voltage,3
voltmeter,1
vortex,5
voutlet,1
vov,1
vration,1
vru,9
vsd,92
vt,7
vtue,1
vung,1
vye,3
w,3
walk,8
wall,6
ware,1
warm,4
warming,1
warplapping,3
waset,1
wash,18
washer,3
wast,3
waste,107
waster,25
watchdog,2
water,361
waterjet,2
way,1
wbd,3
wearing,8
weekly,1
weid,1
weld,75
welding,197
weldment,13
welk,1
welment,1
west,4
wg,2
wheel,8
whell,1
wifi,2
win,1
winding,1
window,17
windown,12
windows,3
windowscheck,1
winthem,1
wintherm,1
wire,21
wireless,17
wiress,1
wiring,39
wirreless,1
with,5
witness,3
wk,109
wobbe,12
wobble,4
woble,1
work,429
workplace,2
workshop,1
worm,9
wrapping,7
wtm,1
ww,3
wwt,22
x,9
xafvs,1
xm,2
xv,25
xva,1
xx,2
y,22
yad,1
yard,72
ydro,1
yokogawa,9
ypm,1
yth,2
yube,1
z,1
zcem,1
zero,27
zerust,1
zet,1
zifv,1
zifvc,2
zm,1
zone,1
