words,spell,correct,frequency
kg,"['k', 'g']",kg.,45
kgs,"['gis', 'gas', 'fgs']",kg.,5
kicker,"['kicker', 'sticker', 'locker']",kicker,2
kit,"['kit', 'it', 'pit']",kit,9
knock,"['knock', 'knocking', 'lock']",knock,2
knocking,"['knocking', 'docking', 'knock']",knocking,2
lab,"['lab', 'lb', 'lpgab']",lab,168
label,"['label', 'lable', 'labeling']",label,3
labeling,"['labeling', 'label', 'leveling']",labeling,2
lable,"['lable', 'label', 'cable']",label,15
labtest,"['test', 'test', 'test']",lab test,3
lach,"['lach', 'latch', 'lack']",latch,2
lack,"['lack', 'rack', 'pack']",lack,2
ladder,"['ladder', 'blade', 'blade']",ladder,32
lamp,"['lamp', 'amp', 'camp']",lamp,48
lan,"['lan', 'plan', 'plant']",lan,22
laod,"['laod', 'lod', 'load']",load,4
latch,"['latch', 'lach', 'watch']",latch,8
law,"['law', 'raw', 'low']",law,6
lay,"['lay', 'play', 'relay']",lay,5
laydown,"['laydown', 'down', 'blowdown']",laydown,3
layout,"['layout', 'out', 'lot']",layout,8
lead,"['lead', 'lead', 'read']",lead,38
leader,"['leader', 'ladder', 'header', 'lead']",leader,2
leak,"['leak', 'lead', 'lead']",leak,804
leakage,"['leakage', 'leak', 'linkage']",leakage,4
learned,"['learned', 'lead', 'lead']",learned,4
leck,"['lock', 'leak', 'lack']",lock,14
led,"['lead', 'lead', 'tle']",lead,2
leg,"['leg', 'lg', 'tle']",leg,58
length,"['let', 'leg', 'client']",length,2
lens,"['olefins', 'olefins', 'license']",olefins,2
leo,"['leo', 'tle', 'low']",leo,3
lesson,"['lesson', 'leo', 'version']",lesson,4
let,"['let', 'lt', 'inlet']",let,7
leval,"['level', 'level', 'level']",level,2
leve,"['level', 'level', 'level']",level,2
leveing,"['leveling', 'leveling', 'sling']",leveling,3
level,"['level', 'level', 'level']",level,257
leveling,"['leveling', 'leveling', 'level']",leveling,7
license,"['license', 'line', 'line']",license,2
life,"['life', 'line', 'line']",life,78
lift,"['lift', 'list', 'life']",lift,98
lifting,"['lifting', 'lighting', 'lining']",lifting,162
ligh,"['light', 'light', 'high']",light,2
light,"['light', 'light', 'sight']",light,31
lighting,"['lighting', 'lightning', 'lifting']",lighting,257
lightnin,"['lightning', 'lighting', 'light']",lightning,5
lightning,"['lightning', 'lighting', 'lining']",lightning,76
limit,"['limit', 'list', 'lift']",limit,74
lind,"['blind', 'blind', 'wind']",line,3
linde,"['line', 'line', 'line']",line,5
line,"['line', 'line', 'line']",line,2354
linedarn,"['line drain', 'line', 'line']",line drain,5
linedrain,"['line drain', 'drain', 'drain']",line drain,6
linepipe,"['linepipe', 'pipe', 'line']",linepipe,10
liness,"['line', 'line', 'line']",line,2
linevent,"['line vent', 'client', 'alignment']",line vent,2
ling,"['sling', 'lining', 'lining']",sling,6
lining,"['lining', 'lining', 'lightning']",lining,3
link,"['link', 'line', 'line']",link,48
linkage,"['linkage', 'link', 'line']",linkage,2
liqiud,"['liquid', 'liquid']",liquid,3
liquid,"['liquid', 'liquid']",liquid,82
list,"['list', 'ellist', 'lift']",list,20
lnsu,['insulation'],insulation,5
lnsulation,['insulation'],insulation,5
loab,"['lab', 'load', 'load']",lab,2
load,"['load', 'load', 'load']",load,2458
loadchemical,"['load chemicals', 'chemical', 'chemical']",load chemical,3
loadchemicals,"['load chemicals', 'chemicals', 'chemical']",load chemicals,4
loadckb,"['lock', 'load', 'load']",load ckb,29
loading,"['loading', 'floating', 'oing']",loading,7
local,"['local', 'locate', 'lock']",local,3
locate,"['locate', 'plate', 'plate']",locate,5
location,"['location', 'relocation', 'rotation']",location,5
lock,"['lock', 'block', 'locker']",lock,69
locker,"['locker', 'lock', 'block']",locker,2
locksheet,"['log sheet', 'checksheet', 'sheet']",log sheet,2
lod,"['lod', 'load', 'load']",load,23
lode,"['lod', 'node', 'load']",load,2
loed,"['lod', 'oeld', 'load']",load,2
log,"['log', 'long', 'long']",log,1165
logic,"['logic', 'login', 'log']",logic,12
login,"['login', 'logic', 'log']",login,3
logsheertnalco,['log sheet nalco'],log sheet nalco,4
logsheet,"['log sheet', 'sheet', 'sheet']",log sheet,115
logsheetnalco,['log sheet nalco'],log sheet nalco,23
lond,"['lod', 'long', 'long']",long,4
long,"['long', 'long', 'log']",long,4
loof,"['loto', 'loop', 'loop']",loop,4
loofbtm,"['loofbtm', 'lot', 'btm']",loofbtm,5
loop,"['loop', 'loop', 'loto']",loop,67
looptest,"['test', 'test', 'test']",loop test,3
loose,"['loose', 'close', 'loto']",loose,19
loss,"['ss', 'ls', 'loose']",loss,2
lot,"['lot', 'slot', 'plot']",lot,2
loto,"['loto', 'lot', 'slot']",loto,72
low,"['low', 'glow', 'flow']",low,86
lower,"['blower', 'tower', 'power', 'lower']",lower,2
lstem,"['lstem', 'stem', 'steam']",steam,2
lub,"['lb', 'lcb', 'lab']",lubricant,36
lube,"['tube', 'blue', 'lb']",lubricant,429
lubecant,"['lubricant', 'lubricant', 'lubricant']",lubricant,7
lubicant,"['lubricant', 'lubricant', 'lubricant']",lubricant,7
lubr,"['lb', 'lubricant', 'lubricant']",lubricant,3
lubricant,"['lubricant', 'lubricant', 'lubricant']",lubricant,402
lubricantcheck,"['lubricant check', 'lubricant', 'lubricant']",lubricant check,2
lubricantclean,"['lubricant clean', 'lubricant', 'lubricant']",lubricant clean,4
lubricantinspection,"['lubricant inspection', 'lubrication', 'inspection']",lubricant inspection,2
lubrication,"['lubrication', 'lubricant', 'lubricant']",lubrication,45
lubricent,"['lubricant', 'lubricant', 'lubricant']",lubricant,2
ma,"['mca', 'man', 'mass']",machine,2
mach,"['lach', 'machine', 'machine']",machine,2
machine,"['machine', 'machine', 'machine']",machine,31
machining,"['remaining', 'machine', 'machine']",machining,3
mag,"['tag', 'mvg', 'meg']",magnetic,4
magnetic,"['magnetic', 'magnetic', 'paramagnetic']",magnetic,14
main,"['main', 'min', 'man']",main,30
maintenance,"['interface', 'internal', 'internal']",maintenance,2
make,"['make', 'make', 'take']",make,2
mal,"['metal', 'normal', 'mca']",metal,2
male,"['vale', 'make', 'make']",male,4
man,"['man', 'main', 'mn']",man,35
management,"['management', 'measurement', 'alignment']",management,3
manhold,"['manhole', 'manifold', 'hold']",manhole,2
manhole,"['manhole', 'hole', 'manifold']",manhole,41
manifold,"['manifold', 'manhole']",manifold,21
mannual,"['manual', 'manual', 'annual']",manual,2
manual,"['manual', 'manual', 'annual']",manual,16
mapping,"['mapping', 'wrapping', 'piping']",mapping,2
mark,"['mark', 'mask', 'make']",mark,8
marking,"['marking', 'ring', 'mark']",marking,2
marshalling,"['marshalling', 'marking', 'sampling']",marshalling,38
mask,"['mask', 'task', 'mass']",mask,5
mass,"['mass', 'mss', 'pass']",mass,2
master,"['master', 'waster', 'water']",master,3
mat,"['mt', 'at', 'mca']",material,53
materail,"['material', 'material', 'material']",material,3
material,"['material', 'material', 'material']",material,8
materials,"['materials', 'material', 'material']",materials,2
matt,"['tt', 'mt', 'at']",material,8
me,"['me', 'meg', 'time']",measurement,67
measurement,"['measurement', 'management', 'element']",measurement,6
mech,"['mesh', 'mesh', 'mh']",mechanical,26
mechanical,"['mechanical', 'mechanical', 'chemical']",mechanical,84
mechseal,"['seal', 'mechanical', 'mechanical']",mechanical,3
median,"['median', 'min', 'man']",median,2
meeter,"['meter', 'moter', 'eater']",meter,2
meg,"['meg', 'me', 'mvg']",meg,35
membrane,"['membrane', 'range', 'crane']",membrane,2
memo,"['memory', 'mtremove', 'mo']",memory,3
mer,"['me', 'timer', 'moter']",memory,2
mes,"['mesh', 'mesh', 'ms']",mesh,2
mesh,"['mesh', 'mesh', 'ms']",mesh,5
metal,"['metal', 'ketal', 'talk']",metal,7
meter,"['meter', 'moter', 'eater']",meter,319
metering,"['metering', 'meter', 'wearing']",metering,26
mid,"['md', 'id', 'pid']",mid,4
middle,"['middle', 'module', 'module', 'module']",middle,2
min,"['min', 'main', 'mn']",min,9
mix,"['mix', 'mx', 'mixing']",mix,2
mixer,"['mix', 'pier', 'moniter']",mixer,3
mixing,"['mixing', 'wiring', 'remaining']",mixing,2
mixylene,"['silencer', 'silencer', 'ethylene']",mix xylene,15
mlss,"['mss', 'miss', 'mass']",mlss,26
mob,"['mo', 'mos', 'moc']",mob,16
mobie,"['mobile', 'mobile', 'mobile']",mobile,3
mobile,"['mobile', 'mobile', 'mobile']",mobile,6
mobilize,"['mobilize', 'mobile', 'mobile']",mobilize,6
mobmaterial,"['material', 'material', 'material']",mob material,3
moc,"['moc', 'mocd', 'mo']",moc,78
mocb,"['moc', 'mocd', 'mo']",moc,6
mocd,"['mocd', 'moc', 'modem']",moc,5
model,"['modem', 'module', 'module']",model,3
modem,"['modem', 'module', 'module']",modem,5
modifi,"['modify', 'modify', 'modify']",modify,2
modification,"['modification', 'location', 'deviation']",modification,15
modifly,"['modify', 'modify', 'modify']",modify,10
modify,"['modify', 'modify', 'modify']",modify,330
moduale,"['module', 'module', 'module']",module,2
modul,"['module', 'module', 'module']",module,6
module,"['module', 'module', 'module']",module,103
modyfy,"['modify', 'modify', 'modify']",modify,4
moisture,"['moisture', 'monitor', 'monitor']",moisture,101
molykote,"['molykote', 'smoke', 'moter']",molykote,2
moniter,"['moniter', 'monitor', 'monitor']",moniter,26
monitor,"['monitor', 'monitor', 'monitor']",monitor,402
monitoring,"['monitoring', 'monitor', 'monitor']",monitoring,14
monitro,"['monitor', 'monitor', 'monitor']",monitor,4
mornitor,"['monitor', 'monitor', 'monitor']",monitor,5
mos,"['mos', 'ms', 'mo']",mos,9
moter,"['moter', 'moniter', 'motor']",motor,7
motor,"['motor', 'monitor', 'monitor']",motor,476
mov,"['move', 'move', 'move']",move,60
move,"['move', 'move', 'move']",move,16
mss,['mss'],mss,-1
mtremove,"['mtremove', 'remove', 'remove']",mtremove,2
muffer,"['muffler', 'user']",muffler,2
muffler,"['muffler', 'module', 'module']",muffler,16
mx,['mx'],mx,-1
naci,"['naoci', 'naoci', 'nalco']",naci,2
nalco,"['nalco', 'analog', 'naoh']",nalco,325
name,"['name', 'me', 'frame']",name,4
naoci,"['naoci', 'naoci', 'naoh']",naoci,18
naocl,"['naoci', 'naoci', 'naoh']",naocl,70
naoh,"['naoh', 'no', 'naoci']",naoh,70
naphtha,"['naphtha', 'naptha', 'ata']",naphtha,45
naptha,"['naptha', 'naphtha', 'ata']",naphtha,26
need,"['need', 'needle', 'speed']",need,8
needle,"['needle', 'need', 'nde']",needle,5
negf,"['negf', 'egf', 'energy']",negative,16
net,"['inlet', 'set', 'one']",inlet,13
network,"['network', 'network', 'work']",network,3
new,"['new', 'renew', 'one']",new,602
niter,"['moniter', 'inter', 'canister']",moniter,2
nitro,"['nitrogen', 'nitrogen', 'nitrogen']",nitrogen,2
nitrogen,"['nitrogen', 'nitrogen', 'nitrogen']",nitrogen,9
no,"['no', 'nox', 'not']",no,743
node,"['node', 'nde', 'under']",node,3
noise,"['noise', 'node', 'hose']",noise,6
noload,"['unload', 'load', 'load']",unload,3
non,"['non', 'on', 'no']",non,4
normal,['normal'],normal,20
normal,"['normal', 'abnormal', 'thermal']",normal,5
not,"['not', 'not', 'no']",not,6
nox,"['nox', 'no', 'not']",nox,2
nozzle,"['nozzle', 'manhole', 'node']",nozzle,82
number,"['rubber', 'chamber', 'chamber']",rubber,8
nut,"['ut', 'input', 'utm']",ut,12
ocu,"['ocu', 'voc', 'toc']",ocu,197
odor,"['door', 'door', 'door']",door,2
oeld,"['oeld', 'weld', 'hold']",weld,12
of,"['of', 'pof', 'off']",of,62
off,"['off', 'of', 'pof']",off,23
oh,"['ohm', 'o', 'naoh']",ohm,3
ohm,"['ohm', 'hm', 'hmi']",ohm,3
oil,"['oil', 'coil', 'oiler']",oil,1325
oiler,"['oiler', 'boiler', 'oil']",oiler,73
oiller,"['oiler', 'boiler', 'chiller']",oiler,6
oing,"['oing', 'oring', 'coring']",oiling,2
ole,"['hole', 'oiler', 'wobble']",olefins,7
olefinns,"['olefins', 'olefins']",olefins,5
olefins,"['olefins', 'olefins', 'online']",olefins,12
on,"['on', 'one', 'non']",on,343
one,"['one', 'zone', 'on']",one,7
online,"['online', 'line', 'line']",online,56
only,"['on', 'online', 'bently']",only,6
onsite,"['onsite', 'site', 'site']",onsite,25
opacity,"['opacity', 'pact', 'compact']",opacity,24
ope,"['open', 'open', 'slope']",open,46
open,"['open', 'open', 'slope']",open,160
operate,"['operate', 'purate', 'operation']",operate,16
operation,"['operation', 'preparation', 'operate']",operation,7
opm,"['pm', 'tpm', 'top']",pm,2
or,"['or', 'oru', 'orp']",or,4
orific,"['office', 'fic', 'wifi']",office,5
orifice,"['office', 'force', 'certificate']",office,7
oring,"['oring', 'coring', 'ring']",oring,3
orp,"['orp', 'or', 'top']",oxidation reduction potential,18
oru,"['oru', 'or', 'vru']",oru,52
orver,"['over', 'over', 'cover']",over,2
osbl,"['osbl', 'isbl', 'sl']",osbl,4
out,"['out', 'ut', 'route']",out,23
outle,"['outlet', 'outlet', 'route']",outlet,2
outlet,"['outlet', 'outlet', 'route']",outlet,41
output,"['outlet', 'outlet', 'out']",outlet,2
over,"['over', 'over', 'cover']",over,75
overhaed,"['overhead', 'overhead', 'overhead']",overhead,3
overhaul,"['overhaul', 'overhaul', 'overhaul']",overhaul,181
overhead,"['overhead', 'overhead', 'overhead']",overhead,48
overheadcrane,"['overhead', 'overhead', 'overhead']",overhead,3
overheard,"['overhead', 'overhead', 'overhead']",overhead,3
overhoual,"['overhaul', 'overhaul', 'overhaul']",overhaul,21
overhual,"['overhaul', 'overhaul', 'overhaul']",overhaul,17
owd,"['owd', 'wd', 'wbd']",weld,2
oxygen,"['oxygen', 'open', 'open']",oxygen,4
pace,"['space', 'space', 'place']",space,4
pack,"['pack', 'rack', 'pact']",pack,68
packing,"['packing', 'racking', 'tracking']",packing,38
pact,"['pact', 'cpact', 'paut']",pact,23
pad,"['pad', 'pa', 'spade']",pad,3
padding,"['padding', 'passing', 'panting']",padding,24
paint,"['paint', 'print', 'point']",paint,5
painting,"['painting', 'panting', 'paint']",painting,456
pair,"['pair', 'air', 'repair']",pair,2
pallet,"['pallet', 'let', 'all']",pallet,10
panal,"['panel', 'panel', 'paa']",panel,2
panamagnetic,"['paramagnetic', 'paramagnetic', 'magnetic']",paramagnetic,3
panel,"['panel', 'panel', 'propane']",panel,60
panting,"['panting', 'painting', 'patching']",panting,7
paramagnetic,"['paramagnetic', 'paramagnetic', 'magnetic']",paramagnetic,4
parameter,"['parameter', 'proximeter', 'meter']",parameter,21
part,"['part', 'parts', 'port']",part,41
partail,"['partial', 'partial', 'tail']",partial,33
partial,"['partial', 'partial', 'part']",partial,54
parts,"['parts', 'part', 'prs']",parts,21
pass,"['pass', 'bypass', 'pssr']",pass,49
passing,"['passing', 'casing', 'pass']",passing,60
passingchange,"['passing change', 'passing', 'change']",passing change,2
patching,"['patching', 'panting', 'packing']",patching,2
pate,"['plate', 'plate', 'plate']",plate,9
patrol,"['patrol', 'ptr', 'trolley']",patrol,6
paut,"['paut', 'part', 'pact']",paut,75
pcv,['pcv'], ,-1
pe,"['ppe', 'pbe', 'type']",ppe,6
pecheck,"['pecheck', 'recheck', 'recheck']",pecheck,2
pegasus,"['pegasus', 'pass', 'pygas']",pegasus,4
perfomance,"['performance', 'performance', 'performance']",performance,2
performance,"['performance', 'performance', 'performance']",performance,24
performances,"['performances', 'performance', 'performance']",performances,2
performant,"['performance', 'performance', 'performance']",performance,2
permit,"['permit', 'print', 'work permit']",permit,43
perr,"['pier', 'upper', 'power']",permit,3
ph,"['ph', 'push', 'p']",ph,300
phase,"['phase', 'phased', 'pass']",phase,6
phased,"['phased', 'phase', 'raised']",phased,16
photo,"['photo', 'pot', 'hot']",photo,22
pi,"['pi', 'pit', 'pin']",pi,11
piah,"['pi', 'ph', 'pa']",piah,5
piahpressure,"['pia pressure', 'pressure', 'pressure']",piah pressure,5
pic,"['pi', 'pc', 'piece']",picture,4
pid,"['pid', 'pi', 'id']",pid,3
piece,"['piece', 'pipe', 'pile']",piece,20
pier,"['pier', 'pipe', 'pile']",pier,7
pigging,"['piping', 'tagging', 'painting']",piping,12
pile,"['pile', 'pipe', 'pier']",pile,4
pilot,"['pilot', 'plot', 'piont']",pilot,11
pin,"['pin', 'pi', 'print']",pin,44
piont,"['piont', 'print', 'point']",point,2
pipe,"['pipe', 'ppe', 'pile']",pipe,2251
pipeline,"['pipeline', 'piping', 'pipe']",pipeline,183
pipelines,"['pipeline', 'piping', 'pipe']",pipelines,2
piperack,"['pipe rack', 'rack', 'pipe']",pipe rack,18
piping,"['piping', 'mapping', 'wrapping']",piping,50
pit,"['pit', 'ptit', 'pt']",pit,142
place,"['place', 'place', 'replace']",place,4
plan,"['plan', 'plant', 'lan']",plan,29
planner,"['plan', 'scanner', 'plate']",planner,2
plant,"['plant', 'plan', 'plate']",plant,117
plas,"['play', 'plan', 'pass']",plastic,7
plastic,"['plastic', 'caustic', 'caustic']",plastic,2
plat,"['plate', 'plate', 'plate']",plate,8
plate,"['plate', 'plate', 'plate']",plate,101
plateform,"['platform', 'platform', 'plate']",platform,49
platform,"['platform', 'platform', 'form']",platform,65
play,"['play', 'lay', 'plan']",play,2
plot,"['plot', 'pilot', 'pot']",plot,3
plug,"['plug', 'unplug', 'purge']",plug,52
pluge,"['plug', 'purge', 'unplug']",plug,2
pm,"['pm', 'tpm', 'prm']",pm,5231
pma,"['pm', 'pa', 'tpm']",pm,15
pmair,"['pair', 'air', 'repair']",pm air,2
pmb,"['pm', 'pb', 'tpm']",pm,18
pmc,"['pm', 'pc', 'mc']",pm,3
pmcheck,"['pm check', 'pecheck', 'check']",pm check,7
pmlubeoil,['pm lube oil'],pm lube oil,3
pmlubricant,"['pm lubricant', 'lubricant', 'lubricant']",pm lubricant,55
pmup,"['pump', 'pump', 'up']",pump,2
pneumatic,"['pneumatic', 'plastic']",pneumatic,51
poc,"['pc', 'voc', 'toc']",poc,5
pof,"['pof', 'of', 'proof']",proof,70
point,"['point', 'print', 'piont']",point,43
poly,"['play', 'polymer', 'polymer']",play,7
polymer,"['polymer', 'polymer', 'power']",polymer,371
polysulfide,"['polysulfide', 'slide']",polysulfide,10
pond,"['pound', 'spoon', 'point']",pound,13
porject,"['project', 'project', 'port']",project,4
port,"['port', 'pot', 'report']",port,4
porv,"['port', 'pv', 'prove']",prove,4
porymer,"['polymer', 'polymer', 'power']",polymer,2
position,"['position', 'positioner', 'positioner']",position,8
positioner,"['positioner', 'positioner', 'position']",positioner,71
positionermini,"['positioner mini', 'positioner', 'positioner']",positioner mini,2
positionner,"['positioner', 'positioner', 'position']",positioner,5
post,"['post', 'pst', 'pot']",post,2
pot,"['pot', 'spot', 'post']",pot,132
pound,"['pound', 'found', 'compound']",pound,5
power,"['power', 'tower', 'shower']",power,141
powerplug,"['power', 'plug']",power,3
prass,"['pass', 'press', 'prs']",pass,2
precool,"['pre-cool', 'spool', 'proof']",pre-cool,6
prepa,"['prepare', 'repeat', 'repari']",prepare,3
preparation,"['preparation', 'operation', 'repari']",preparation,15
prepare,"['prepare', 'repari', 'repair']",prepare,2
preset,"['preset', 'reset', 'presser']",preset,4
press,"['press', 'process', 'presser']",press,24
presser,"['presser', 'press', 'pressure']",presser,6
pressor,"['processor', 'presser', 'press']",processor,8
pressure,"['pressure', 'pressure', 'pressure']",pressure,193
presure,"['pressure', 'pressure', 'pressure']",pressure,3
print,"['print', 'point', 'piont']",print,7
probe,"['probe', 'prove', 'pbe']",probe,42
process,"['process', 'reprocess', 'processor']",process,10
processor,"['processor', 'process', 'reprocess']",processor,4
product,"['product', 'duct', 'protect']",product,13
program,"['program', 'prover', 'prm']",program,25
project,"['project', 'protect', 'porject']",project,112
proof,"['proof', 'pof', 'room']",proof,20
propane,"['propane', 'propylene', 'prepare']",propane,10
propylene,"['propylene', 'propane', 'open']",propylene,2
protech,"['protech', 'protect', 'project']",protech,2
protect,"['protect', 'protech', 'project']",protech,7
protection,"['protection', 'protect', 'rotation']",protection,11
prove,"['prove', 'prover', 'approve']",prove,185
prover,"['prover', 'prove', 'over']",prover,86
proximeter,"['proximeter', 'proximity', 'parameter']",proximeter,3
proximity,"['proximity', 'proximeter', 'permit']",proximity,2
psv,['psv'],psv,22
ptr,"['ptr', 'tr', 'pt']",ptr,6
ptt,"['ptt', 'ptit', 'tt']",ptt,6
ptw,"['ptw', 'tw', 'pw']",ptw,56
pu,"['pu', 'cpu', 'u']",pulling,125
pulling,"['pulling', 'sling', 'sampling']",pulling,5
pump,"['pump', 'pump', 'utmp']",pump,1257
pumps,"['pump', 'pump', 'ups']",pumps,2
punch,"['punch', 'punchlist', 'push']",punch,33
punchlist,"['punchlist', 'punch', 'checklist']",punchlist,5
punp,"['pump', 'pump', 'up']",pump,2
purate,"['purate', 'rate', 'pure']",purate,27
pure,"['pure', 'purge', 'purate']",pure,2
purge,"['purge', 'pure', 'surge']",purge,34
push,"['push', 'us', 'punch']",push,3
pygas,"['pygas', 'gas', 'pegasus']",pygas,2
qod,['qod'],qod,-1
quench,"['punch', 'sequence', 'wrench']",quench,82
qunch,"['punch', 'sequence', 'touch']",quench,5
quolity,['quality'],quality,2
rack,"['rack', 'crack', 'pack']",rack,207
rackb,"['rack', 'crack', 'ckb']",rack,14
racking,"['racking', 'tracking', 'tracking']",racking,4
radaint,"['radiant', 'train', 'rasin']",radiant,4
radar,"['read', 'read', 'radiant']",radar,5
rail,"['rail', 'tail', 'fail']",rail,6
raised,"['raised', 'tailed', 'phased']",raised,3
range,"['range', 'crane', 'cange']",range,47
rapcher,"['rapcher', 'catcher', 'washer']",rapcher,2
rasin,"['rasin', 'train', 'resin']",rasin,4
rate,"['rate', 'purate', 'gate']",rate,13
raw,"['raw', 'ra', 'rwt']",raw,4
ray,"['ray', 'ray', 'tray']",ray,370
read,"['read', 'read', 'reload']",read,2
readout,"['readout', 'read', 'read']",readout,2
reagent,"['reagent', 'restatement', 'reset']",reagent,2
reapir,"['repair', 'repair', 'repair']",repair,2
recheak,"['recheck', 'recheck', 'pecheck']",recheck,2
recheck,"['recheck', 'recheck', 'pecheck']",recheck,23
recondition,"['recondition', 'condition', 'reduction']",recondition,4
record,"['record', 'recover', 'rod']",record,27
recover,"['recover', 'remover', 'cover']",recover,25
rectifier,"['rectifier', 'clarifier', 'recover']",rectifier,4
recycle,"['cycle', 'spectacle', 'rescue']",cycle,2
red,"['read', 'read', 're']",red,2
redar,"['ear', 'repari', 'repair']",radar,4
reduction,"['reduction', 'suction', 'section']",reduction,4
refactory,"['refractory', 'refractory', 'regulator']",refractory,98
refereance,"['reference', 'reference', 'emergency']",reference,2
reference,"['reference', 'reference', 'emergency']",reference,6
refill,"['refill', 'fill', 'fill']",refill,26
reflux,"['reflux', 'refill', 'flex']",reflux,3
refractory,"['refractory', 'refractory', 'aerator']",refractory,55
regen,"['reagent', 'screen', 'screen']",restart generator,41
regulator,"['regulator', 'requestor', 'relocation']",regulator,49
rehazop,['revamp'],hazop,2
reinstall,"['reinstall', 'reinstall', 'install']",reinstall,96
reinstate,"['reinstate', 'reinstatement', 'reinstall']",reinstate,8
reinstatement,"['reinstatement', 'restatement', 'reinstate']",reinstatement,9
reinsulation,"['insulation', 'insulation', 'insulation']",reinstall insulation,3
relay,"['relay', 'delay', 'ray']",relay,21
relief,"['relief', 'elite', 'elite']",relief,4
reload,"['reload', 'read', 'read']",reload,13
relocation,"['relocation', 'location', 'rotation']",relocation,3
remaining,"['remaining', 'painting', 'grinding']",remaining,8
remote,"['remote', 'remove', 'remove']",remote,6
remove,"['remove', 'remove', 'remove']",remove,2991
removeinstall,"['remove install', 'reinstall', 'reinstall']",remove install,89
removeinsulation,"['insulation', 'insulation', 'insulation']",remove insulation,6
removel,"['remove', 'remove', 'remove']",removal,2
remover,"['remover', 'remove', 'remove']",remover,42
removescaffolding,"['scaffolding', 'scaffolding', 'scaffolding']",remove scaffolding,2
remuve,"['remove', 'remove', 'remove']",remove,2
remve,"['remove', 'remove', 'remove']",remove,2
renew,"['renew', 'new', 'renovate']",renew,6
renovate,"['renovate', 'remove', 'remove']",renovate,8
reoair,"['repair', 'repair', 'repair']",repair,2
repail,"['repari', 'repair', 'repair']",repair,2
repair,"['repair', 'repair', 'repair']",repair,562
repalce,"['replace', 'replace', 'replace']",replace,2
repari,"['repari', 'repair', 'repair']",repair,2
repco,"['eco', 'report', 'record']",repco,5
repeat,"['repeat', 'reset', 'report']",repeat,5
repiar,"['repari', 'repair', 'repair']",repair,6
replac,"['replace', 'replace', 'replace']",replace,4
replace,"['replace', 'replace', 'replace']",replace,715
replacec,"['replace', 'replace', 'replace']",replace,5
replacement,"['replace', 'replace', 'replace']",replace,10
replacer,"['replace', 'replace', 'replace']",replace,2
replaec,"['replace', 'replace', 'replace']",replace,2
replica,"['replica', 'replace', 'replace']",replica,6
report,"['report', 'port', 'transport']",report,81
reprocess,"['reprocess', 'process', 'processor']",reprocess,4
requestor,"['requestor', 'regulator', 'restart']",requestor,9
rescaffolding,"['scaffolding', 'scaffolding', 'scaffolding']",reinstall scaffolding,2
rescue,"['rescue', 'reuse', 'reset']",rescue,11
reset,"['reset', 'preset', 'reuse']",reset,22
resin,"['resin', 'rasin', 'design']",resin,24
resintrap,"['resin', 'riprap', 'reinstate']",resin,2
resistance,"['resistance', 'reinstate', 'resin']",resistance,8
resit,"['resin', 'reset', 'preset']",resin,2
response,"['presser', 'pressure', 'pressure']",response,3
restall,"['reinstall', 'reinstall', 'restart']",reinstall,3
restart,"['restart', 'start', 'start']",restart,10
restatement,"['restatement', 'reinstatement', 'reinstate']",restatement,6
retighten,"['retighten', 'retighten', 'tighten']",retighten,2
retiqhten,"['retighten', 'retighten', 'tighten']",retighten,2
return,"['return', 'run', 'venturi']",return,8
reuse,"['reuse', 'reset', 'use']",reuse,140
revamp,"['revamp', 'bream', 'stream']",revamp,18
rey,"['re', 'relay', 'survey']",ray,2
rft,"['rt', 'ft', 'draft']",draft,4
rigger,"['rigger', 'drier', 'springer']",rigger,30
rim,"['rim', 'rbi', 'prm']",rim,10
ring,"['ring', 'oring', 'wiring']",ring,20
riprap,"['riprap', 'trip', 'trip']",riprap,13
risk,"['iris', 'disk', 'harddisk']",risk,5
robot,"['soot', 'room', 'foot']",robot,3
robotvisual,"['robot visual', 'visual', 'visual']",robot visual,3
rod,"['rod', 'ro', 'rtd']",rod,12
roller,"['trolley', 'trolley', 'controller']",roller,2
roof,"['proof', 'room', 'rotor']",roof,64
room,"['room', 'from', 'doom']",room,40
rota,"['ta', 'rt', 'route']",rotation,3
rotor,"['rotor', 'motor', 'room']",rotor,13
route,"['route', 'routine', 'out']",route,3
routine,"['routine', 'route', 'rotation']",routine,147
rubber,"['rubber', 'scrubber', 'user']",rubber,9
run,"['run', 'vru', 'rnc']",run,384
runcheck,"['run check', 'recheck', 'recheck']",run check,2
running,"['tuning', 'grounding', 'ring']",running,2
rupture,"['rupture', 'structure', 'structure']",rupture,3
sac,"['sc', 'sa', 'stack']",scaffolding,2
sacffolding,"['scaffolding', 'scaffolding', 'scaffolding']",scaffolding,10
safe,"['safe', 'safe', 'safety']",safe,18
safety,"['safety', 'safety', 'safe']",safety,570
saffolding,"['scaffolding', 'scaffolding', 'scaffolding']",scaffolding,5
safts,"['safety', 'safety', 'soft']",safety,2
saftware,"['software', 'safe', 'safe']",software,2
samp,"['sap', 'amp', 'sample']",sample,10
sampie,"['sample', 'sample', 'sample']",sample,2
sample,"['sample', 'sample', 'sample']",sample,66
samplet,"['sample', 'sample', 'sample']",sample,3
sampling,"['sampling', 'sling', 'spring']",sampling,182
sand,"['sand', 'stand', 'and']",sand,69
sat,"['stat', 'seat', 'st']",start,13
