Details,Translate_Details,Area,Contractor,Type_of_finding,Topic,Clean_Details,Clean_Translate_Details
งานเชื่อมไฟฟ้าแผ่นพื้นPlateผู้ปฏิบัติงานอยู่จุดงานเชื่อมรับควันฟูมก่อให้เกิดอันตรายดวงตาระบบทางเดินหายใจ,"Electric welding work plate, the worker is at the welding point. Smoke fume poses a danger to the eyes, respiratory system.",HOT,RNC,Unsafe Action,Hot Work,งานเชื่อมไฟฟ้าแผ่นพื้นPlateผู้ปฏิบัติงานอยู่จุดงานเชื่อมรับควันฟูมก่อให้เกิดอันตรายดวงตาระบบทางเดินหายใจ,"Electric welding work plate, the worker is at the welding point. Smoke fume poses a danger to the eyes, respiratory system."
งานขัดรูTubeมีการนำตะกร้าเครื่องมือวางเหยียบทำงานพลัดตก,Tube hole sanding work. There is a basket of tools placed on the pedal to work.,HOT,RNC,Unsafe Action,Work at height,งานขัดรูTubeมีการนำตะกร้าเครื่องมือวางเหยียบทำงานพลัดตก,Tube hole sanding work. There is a basket of tools placed on the pedal to work.
งานดึงTubeมีJSAประเมินความเสี่ยง,Tube pull work has JSA risk assessment.,HOT,RNC,Unsafe Action,PTW & JSA,งานดึงTubeมีJSAประเมินความเสี่ยง,Tube pull work has JSA risk assessment.
งานประกอบฝาShadowBoxใช้HookSafetyHarnessเกาะยกุปกรณ์แทนการใช้รอก,"Assembling the ShadowBox cover, use HookSafetyHarness to attach equipment instead of using a pulley.",HOT,RNC,Unsafe Action,Lifting,งานประกอบฝาShadowBoxใช้HookSafetyHarnessเกาะยกุปกรณ์แทนการใช้รอก,"Assembling the ShadowBox cover, use HookSafetyHarness to attach equipment instead of using a pulley."
งานรื้อถอนนั่งร้านSafetyL(จป.ปฏิบัติงานตรงหน้าที่เข้าไปทำงานคนงาน,Scaffold demolition work SafetyL (Jor Por. Work in front of the workers who go to work.,HOT,RNC,Unsafe Action,SL Performance,งานรื้อถอนนั่งร้านSafetyL(จป.ปฏิบัติงานตรงหน้าที่เข้าไปทำงานคนงาน,Scaffold demolition work SafetyL (Jor Por. Work in front of the workers who go to work.
งานรือนั่งร้านผู้ปฏิบัติงานคล้องSafetyHarness,"Work or scaffolding, workers attaching SafetyHarness",HOT,RNC,Unsafe Action,Work at height,งานรือนั่งร้านผู้ปฏิบัติงานคล้องSafetyHarness,"Work or scaffolding, workers attaching SafetyHarness"
งานInsulationSealPlasticสวมใส่หน้ากากR,InsulationSealPlastic work wear mask R,HOT,RNC,Unsafe Action,PPE,งานInsulationSealPlasticสวมใส่หน้ากากR,InsulationSealPlastic work wear mask R
งานInsulationสวมใส่GoggleN,Insulation work wear GoggleN,HOT,RNC,Unsafe Action,PPE,งานInsulationสวมใส่GoggleN,Insulation work wear GoggleN
ช่างเชื่อมถอดหน้ากากเชื่อมสวมใส่หมวกSafety,Welders take off welding mask and put on a safety helmet.,HOT,RNC,Unsafe Action,PPE,ช่างเชื่อมถอดหน้ากากเชื่อมสวมใส่หมวกSafety,Welders take off welding mask and put on a safety helmet.
ช่างเชื่อมทำงานนั่งร้านสวมใส่SafetyHarness,"Welders working on scaffolding, wearing SafetyHarness.",HOT,RNC,Unsafe Action,Work at height,ช่างเชื่อมทำงานนั่งร้านสวมใส่SafetyHarness,"Welders working on scaffolding, wearing SafetyHarness."
ช่างประกอบทำงานนั่งร้านคล้องHookSafetyHarnessข้างเดียว,An assembler works on scaffolding hooked on one side of the HookSafetyHarness.,HOT,RNC,Unsafe Action,Work at height,ช่างประกอบทำงานนั่งร้านคล้องHookSafetyHarnessข้างเดียว,An assembler works on scaffolding hooked on one side of the HookSafetyHarness.
ช่างประกอบนำหินเจียรนิ้วเตรียมใช้งานมีHandle,The technician brings the finger grinding stone to prepare for use. There is a handle.,HOT,RNC,Unsafe Action,Hot Work,ช่างประกอบนำหินเจียรนิ้วเตรียมใช้งานมีHandle,The technician brings the finger grinding stone to prepare for use. There is a handle.
ดึงสาวเชือกสวมใส่ถุงมือ,pulling rope girl wearing gloves,HOT,RNC,Unsafe Action,PPE,ดึงสาวเชือกสวมใส่ถุงมือ,pulling rope girl wearing gloves
ตรวจพบบริเวณAccessdoorเข้าfireboxมีการเปิดBlowerทิ้งมีการปฏิบัติงานCSEมีคนเฝ้า,"Accessdoor detected, firebox access, blower opened, CSE operation, guarded",HOT,RNC,Unsafe Action,CSE,ตรวจพบบริเวณAccessdoorเข้าfireboxมีการเปิดBlowerทิ้งมีการปฏิบัติงานCSEมีคนเฝ้า,"Accessdoor detected, firebox access, blower opened, CSE operation, guarded"
สายเครื่องเจาะเหล็กทำให้ไหลลงพื้น,Steel drilling machine line makes it flow into the ground.,HOT,RNC,Unsafe Action,Hot Work,สายเครื่องเจาะเหล็กทำให้ไหลลงพื้น,Steel drilling machine line makes it flow into the ground.
ถอดหมวกสวมใส่แว่นตานักพักจุดทำงาน,Take off your hat and wear goggles.,HOT,RNC,Unsafe Action,PPE,ถอดหมวกสวมใส่แว่นตานักพักจุดทำงาน,Take off your hat and wear goggles.
ถุงใส่InsulationติดTagระบุ,Insulation bag with tag,HOT,RNC,Unsafe Action,Insulation,ถุงใส่InsulationติดTagระบุ,Insulation bag with tag
ทำงานHWIเปิดPTW(พบใช้PTWHWIชั้น,work HWI open PTW (found using PTWHWI class,HOT,RNC,Unsafe Action,PTW & JSA,ทำงานHWIเปิดPTW(พบใช้PTWHWIชั้น,work HWI open PTW (found using PTWHWI class
ทำงานช่องเปิดสวมSafetyHarness,"Work openings, wearing SafetyHarness.",HOT,RNC,Unsafe Action,Work at height,ทำงานช่องเปิดสวมSafetyHarness,"Work openings, wearing SafetyHarness."
ทำงานจุดเปิดgratingดึงTubeสวมใส่SafetyHarness,Work point open grating Pull Tube Wear SafetyHarness,HOT,RNC,Unsafe Action,Work at height,ทำงานจุดเปิดgratingดึงTubeสวมใส่SafetyHarness,Work point open grating Pull Tube Wear SafetyHarness
ทำงานงานถอดประกอบสวมใส่ถุงมือป้องกันการหนีบกระแทก,"Work on disassembly work, wear protective gloves to prevent clipping.",HOT,RNC,Unsafe Action,Installation/ Alignment,ทำงานงานถอดประกอบสวมใส่ถุงมือป้องกันการหนีบกระแทก,"Work on disassembly work, wear protective gloves to prevent clipping."
ทำงานงานถอดประกอบสวมใส่ถุงมือป้องกันการหนีบกระแทก,"Work on disassembly work, wear protective gloves to prevent clipping.",HOT,RNC,Unsafe Action,Installation/ Alignment,ทำงานงานถอดประกอบสวมใส่ถุงมือป้องกันการหนีบกระแทก,"Work on disassembly work, wear protective gloves to prevent clipping."
ทำงานนั่งร้านคล้องHookSafetyHarness,Working scaffolding hooks HookSafetyHarness,HOT,RNC,Unsafe Action,Work at height,ทำงานนั่งร้านคล้องHookSafetyHarness,Working scaffolding hooks HookSafetyHarness
ทำงานนั่งร้านคล้องHookSafetyHarness,Working scaffolding hooks HookSafetyHarness,HOT,RNC,Unsafe Action,Scaffolding,ทำงานนั่งร้านคล้องHookSafetyHarness,Working scaffolding hooks HookSafetyHarness
ทำงานนั่งร้านเกี่ยวSafetyHarness,Scaffolding work related to SafetyHarness,HOT,RNC,Unsafe Action,Work at height,ทำงานนั่งร้านเกี่ยวSafetyHarness,Scaffolding work related to SafetyHarness
ทำงานinsulationนั่งร้านคนเดียว,work insulation scaffolding alone,HOT,RNC,Unsafe Action,Insulation,ทำงานinsulationนั่งร้านคนเดียว,work insulation scaffolding alone
นำCutterแบบเข้ามาใช้งานInsulation,Bring the type cutter to use Insulation.,HOT,RNC,Unsafe Action,Tools & Equipment,นำCutterแบบเข้ามาใช้งานInsulation,Bring the type cutter to use Insulation.
นำขวดน้ำดื่มใส่น้ำยาหล่อลื่น,Put a water bottle with lubricant.,HOT,RNC,Unsafe Action,Housekeeping,นำขวดน้ำดื่มใส่น้ำยาหล่อลื่น,Put a water bottle with lubricant.
นำผู้ช่วยช่างตั้งนั่งร้าน,Lead a scaffolding assistant,HOT,RNC,Unsafe Action,Scaffolding,นำผู้ช่วยช่างตั้งนั่งร้าน,Lead a scaffolding assistant
นำรถเข็นน้ำขนย้ายแผ่นนั่งร้าน,Bring the water cart to move the scaffolding sheet.,HOT,RNC,Unsafe Action,Scaffolding,นำรถเข็นน้ำขนย้ายแผ่นนั่งร้าน,Bring the water cart to move the scaffolding sheet.
นำอุปกรณ์PPEล้างทำความสะอาดEyewasher,Remove PPE equipment to clean the eyewasher.,HOT,RNC,Unsafe Action,Safety Management,นำอุปกรณ์PPEล้างทำความสะอาดEyewasher,Remove PPE equipment to clean the eyewasher.
นำอุปกรณ์ไฟฟ้าผ่านการตรวจสภาพใช้งาน,Bring electrical equipment through the inspection of the condition of use.,HOT,RNC,Unsafe Action,Hot Work,นำอุปกรณ์ไฟฟ้าผ่านการตรวจสภาพใช้งาน,Bring electrical equipment through the inspection of the condition of use.
ปฏิบัติงานใกล้ช่องเปิดสวมใส่SafetyHarness,Operate near the SafetyHarness wear opening.,HOT,RNC,Unsafe Action,Work at height,ปฏิบัติงานใกล้ช่องเปิดสวมใส่SafetyHarness,Operate near the SafetyHarness wear opening.
ปฏิบัติงานตัดเจียรCoilด้านในCSEลืมคล้องHook,"Working for cutting, grinding, inner coil CSE forget hook",HOT,RNC,Unsafe Action,Work at height,ปฏิบัติงานตัดเจียรCoilด้านในCSEลืมคล้องHook,"Working for cutting, grinding, inner coil CSE forget hook"
ประเมินความเสี่ยงงานประกอบTolleyBeamครอบคลุม,Comprehensive risk assessment of assembly work TolleyBeam,HOT,RNC,Unsafe Action,PTW & JSA,ประเมินความเสี่ยงงานประกอบTolleyBeamครอบคลุม,Comprehensive risk assessment of assembly work TolleyBeam
ปิดล้อมพื้นที่ครอบคลุมLineoffireมีการทำงานsupportcoilชั้นงานถอดTrolleybeamชั้น,Lineoffire enclosed coverage area has a supportcoil layer working to remove the Trolleybeam layer.,HOT,RNC,Unsafe Action,Work at height,ปิดล้อมพื้นที่ครอบคลุมLineoffireมีการทำงานsupportcoilชั้นงานถอดTrolleybeamชั้น,Lineoffire enclosed coverage area has a supportcoil layer working to remove the Trolleybeam layer.
ผูกมัดค้อนทองเหลืองลวด,Bonded Brass Wire Hammer,HOT,RNC,Unsafe Action,Work at height,ผูกมัดค้อนทองเหลืองลวด,Bonded Brass Wire Hammer
ผู้ช่วยงานเชื่อมสวมใส่แว่นตานิรภัย,The welding assistant wears safety glasses.,HOT,RNC,Unsafe Action,Hot Work,ผู้ช่วยงานเชื่อมสวมใส่แว่นตานิรภัย,The welding assistant wears safety glasses.
ผู้ช่วยช่างงานประกอบเจียรLineชั้นสวมใส่FaceShield,"Assistant technician for assembly, grinding, line, wear layer, FaceShield",HOT,RNC,Unsafe Action,Hot Work,ผู้ช่วยช่างงานประกอบเจียรLineชั้นสวมใส่FaceShield,"Assistant technician for assembly, grinding, line, wear layer, FaceShield"
ผู้ช่วยช่างใช้HookSafetyHarnessหมุนลวดแทนประแจอุปกรณ์เพียงพอ,The mechanic's assistant uses the HookSafetyHarness to rotate the wire instead of a wrench.,HOT,RNC,Unsafe Action,Scaffolding,ผู้ช่วยช่างใช้HookSafetyHarnessหมุนลวดแทนประแจอุปกรณ์เพียงพอ,The mechanic's assistant uses the HookSafetyHarness to rotate the wire instead of a wrench.
ผู้ช่วยช่างยืนจับPipeอยู่Lineoffire,The mechanic's assistant stood holding Pipee on the Lineoffire.,HOT,RNC,Unsafe Action,Hot Work,ผู้ช่วยช่างยืนจับPipeอยู่Lineoffire,The mechanic's assistant stood holding Pipee on the Lineoffire.
ฏิบัติงานสวมใส่Faceshieldสวมแว่นตาเสี่ยงสะเก็ดไฟได้รับความร้อนหัวเผา,"Work wear Faceshield, wear goggles, risk splatter getting burner heat.",HOT,RNC,Unsafe Action,Hot Work,ฏิบัติงานสวมใส่Faceshieldสวมแว่นตาเสี่ยงสะเก็ดไฟได้รับความร้อนหัวเผา,"Work wear Faceshield, wear goggles, risk splatter getting burner heat."
ผู้ปฏิบัติงานinstallflangepassสวมใส่แว่นตาเรียบร้อยแว่นตาเป็นแบบเหมาะสมในการใช้เวลากลางคืน,"Installflangepass worker wear glasses neatly, goggles are suitable to use at night.",HOT,RNC,Unsafe Action,PPE,ผู้ปฏิบัติงานinstallflangepassสวมใส่แว่นตาเรียบร้อยแว่นตาเป็นแบบเหมาะสมในการใช้เวลากลางคืน,"Installflangepass worker wear glasses neatly, goggles are suitable to use at night."
ผู้ปฏิบัติงานเดินลากHookขูดGrating>>แจ้งเก็บสายSafetyHarness,Worker hauling Hook Scratching Grating>>Notifying SafetyHarness Cables,HOT,RNC,Unsafe Action,Work at height,ผู้ปฏิบัติงานเดินลากHookขูดGrating>>แจ้งเก็บสายSafetyHarness,Worker hauling Hook Scratching Grating>>Notifying SafetyHarness Cables
ผู้ปฏิบัติงานเอาFaceShield,The worker removes FaceShield.,HOT,RNC,Unsafe Action,Hot Work,ผู้ปฏิบัติงานเอาFaceShield,The worker removes FaceShield.
ผู้ปฏิบัติงานสวมใส่SafetyHarnessขณะทำส.หลังคาเตา,Workers wear SafetyHarness while working on the stove roof.,HOT,RNC,Unsafe Action,Work at height,ผู้ปฏิบัติงานสวมใส่SafetyHarnessขณะทำส.หลังคาเตา,Workers wear SafetyHarness while working on the stove roof.
ผู้ปฏิบัติงานทราบรายละเอียดงานติดตั้งนั่งร้าน,The operator knows the details of the installation of scaffolding.,HOT,RNC,Unsafe Action,Scaffolding,ผู้ปฏิบัติงานทราบรายละเอียดงานติดตั้งนั่งร้าน,The operator knows the details of the installation of scaffolding.
ผู้ปฏิบัติงานสวมถุงมือทำงานสาวรอก,worker wearing gloves working girl pulley,HOT,RNC,Unsafe Action,PPE,ผู้ปฏิบัติงานสวมถุงมือทำงานสาวรอก,worker wearing gloves working girl pulley
ผู้ปฏิบัติงานขึ้นไปยืนตู้เครื่องมือคล้องผูกมัดสะเก็น,"The operator stands up to the tool cabinet, tying the shards.",HOT,RNC,Unsafe Action,Lifting,ผู้ปฏิบัติงานขึ้นไปยืนตู้เครื่องมือคล้องผูกมัดสะเก็น,"The operator stands up to the tool cabinet, tying the shards."
ผู้ปฏิบัติงานคล้องSafetyHarnessระดับศีรษะ,The operator attaches the SafetyHarness to the head level.,HOT,RNC,Unsafe Action,Scaffolding,ผู้ปฏิบัติงานคล้องSafetyHarnessระดับศีรษะ,The operator attaches the SafetyHarness to the head level.
ผู้ปฏิบัติงานจอดจักรยานกีดขวางHoseBoxFirehydrant,Bicycle park operator blocks HoseBoxFirehydrant,HOT,RNC,Unsafe Action,Housekeeping,ผู้ปฏิบัติงานจอดจักรยานกีดขวางHoseBoxFirehydrant,Bicycle park operator blocks HoseBoxFirehydrant
ผู้ปฏิบัติงานด้านในFireBoxสวมใส่ชุดTyvek,A worker inside FireBox wears a Tyvek suit.,HOT,RNC,Unsafe Action,CSE,ผู้ปฏิบัติงานด้านในFireBoxสวมใส่ชุดTyvek,A worker inside FireBox wears a Tyvek suit.
ผู้ปฏิบัติงานด้านล่างLineoffireขณะเครนยกขนย้ายอุปกรณ์นั่งร้านชั้น,The operator below the Lineoffire as the crane lifts the floor scaffolding equipment.,HOT,RNC,Unsafe Action,Lifting,ผู้ปฏิบัติงานด้านล่างLineoffireขณะเครนยกขนย้ายอุปกรณ์นั่งร้านชั้น,The operator below the Lineoffire as the crane lifts the floor scaffolding equipment.
ผู้ปฏิบัติงานประกอบStructureชั้นคล้องSafetyHarnessจุดมั่นคง,The operator assembles the Structure with the SafetyHarness strap on the stable point.,HOT,RNC,Unsafe Action,Work at height,ผู้ปฏิบัติงานประกอบStructureชั้นคล้องSafetyHarnessจุดมั่นคง,The operator assembles the Structure with the SafetyHarness strap on the stable point.
ผู้ปฏิบัติงานประกอบเชื่อมอุปกรณ์LineTLEสวมใส่ถุงมือ,The operator assembles the LineTLE welding equipment wearing gloves.,HOT,RNC,Unsafe Action,Hot Work,ผู้ปฏิบัติงานประกอบเชื่อมอุปกรณ์LineTLEสวมใส่ถุงมือ,The operator assembles the LineTLE welding equipment wearing gloves.
ผู้ปฏิบัติงานยืนเหยียบLinepipeรับส่งอุปกรณ์นั่งร้าน,Operator stand pedal Linepipe pick up scaffolding equipment,HOT,RNC,Unsafe Action,Scaffolding,ผู้ปฏิบัติงานยืนเหยียบLinepipeรับส่งอุปกรณ์นั่งร้าน,Operator stand pedal Linepipe pick up scaffolding equipment
ผู้ปฏิบัติงานลืมคล้องSafetyHarness,Workers forget about SafetyHarness.,HOT,RNC,Unsafe Action,Scaffolding,ผู้ปฏิบัติงานลืมคล้องSafetyHarness,Workers forget about SafetyHarness.
ผู้ปฏิบัติงานลืมคล้องSafetyHarness,Workers forget about SafetyHarness.,HOT,RNC,Unsafe Action,Work at height,ผู้ปฏิบัติงานลืมคล้องSafetyHarness,Workers forget about SafetyHarness.
พนักงานพื้นที่Barricadeงานยกแขวนชิ้นงานด้านบน,Barricade area workers lifting and hanging work on top,HOT,RNC,Unsafe Action,Lifting,พนักงานพื้นที่Barricadeงานยกแขวนชิ้นงานด้านบน,Barricade area workers lifting and hanging work on top
พบทีมงานพักใต้ซุ้มนั่งร้านทำProtectอุปกรณ์ถังArgonมีการยกPipeต๋งเครน,"Found the team resting under the scaffolding to protect the Argon tank equipment, lifting the Pipe Tong Crane.",HOT,RNC,Unsafe Action,Lifting,พบทีมงานพักใต้ซุ้มนั่งร้านทำProtectอุปกรณ์ถังArgonมีการยกPipeต๋งเครน,"Found the team resting under the scaffolding to protect the Argon tank equipment, lifting the Pipe Tong Crane."
มีSafetyLeadดูแลงานจุด,There is a SafetyLead to take care of the point work.,HOT,RNC,Unsafe Action,SL Performance,มีSafetyLeadดูแลงานจุด,There is a SafetyLead to take care of the point work.
มีการทำงานด้านบนมีงานติดตั้งนั่งร้านด้านล่างมีงานBoreScope,"There is work above. There is a work to install scaffolding, below there is a BoreScope work.",HOT,RNC,Unsafe Action,Work at height,มีการทำงานด้านบนมีงานติดตั้งนั่งร้านด้านล่างมีงานBoreScope,"There is work above. There is a work to install scaffolding, below there is a BoreScope work."
มีเกี่ยวข้องอยู่พื้นที่ทำงานยกอุปกรณ์Lineoffire,Lineoffire equipment is involved in the work area.,HOT,RNC,Unsafe Action,Lifting,มีเกี่ยวข้องอยู่พื้นที่ทำงานยกอุปกรณ์Lineoffire,Lineoffire equipment is involved in the work area.
ยกPipespoolผูกมัดเชือกTaglineมั่นคง,"Lift the Pipespool, Bind the Tagline Rope Stable",HOT,RNC,Unsafe Action,Lifting,ยกPipespoolผูกมัดเชือกTaglineมั่นคง,"Lift the Pipespool, Bind the Tagline Rope Stable"
ยืนขนย้ายอุปกรณ์นั่งร้านจุดเสี่ยงการตกHandrailBeam,Stand to transport scaffolding equipment at risk of falling HandrailBeam,HOT,RNC,Unsafe Action,Scaffolding,ยืนขนย้ายอุปกรณ์นั่งร้านจุดเสี่ยงการตกHandrailBeam,Stand to transport scaffolding equipment at risk of falling HandrailBeam
ยืนทำงานPipeงานColdcutเสี่ยงการพลัดตก,"Standing to work, Pipe work, Coldcut work, risk of falling",HOT,RNC,Unsafe Action,Work at height,ยืนทำงานPipeงานColdcutเสี่ยงการพลัดตก,"Standing to work, Pipe work, Coldcut work, risk of falling"
ยืนปฏิบัติงานHardBarricadeเสี่ยงการตกที่สูง,"Standing at HardBarricade, risk of falling at height",HOT,RNC,Unsafe Action,Work at height,ยืนปฏิบัติงานHardBarricadeเสี่ยงการตกที่สูง,"Standing at HardBarricade, risk of falling at height"
ยืนส่งอุปกรณ์นั่งร้านStructure,Standing and delivering scaffolding equipment,HOT,RNC,Unsafe Action,Work at height,ยืนส่งอุปกรณ์นั่งร้านStructure,Standing and delivering scaffolding equipment
ระบุมีเอกสารDeviationSafeWorkChecklist,Specifies whether the DocumentDeviationSafeWorkChecklist exists.,HOT,RNC,Unsafe Action,PTW & JSA,ระบุมีเอกสารDeviationSafeWorkChecklist,Specifies whether the DocumentDeviationSafeWorkChecklist exists.
รื้อInsulationสวมใส่ถุงมือGoggle,Dismantling Insulation Wear Goggle Gloves,HOT,RNC,Unsafe Action,Insulation,รื้อInsulationสวมใส่ถุงมือGoggle,Dismantling Insulation Wear Goggle Gloves
วางใบหินเจียรขวดน้ำดื่มทิ้งนั่งร้าน,"Place the grinding stone leaves, drinking water bottles, discard the scaffolding.",HOT,RNC,Unsafe Action,Work at height,วางใบหินเจียรขวดน้ำดื่มทิ้งนั่งร้าน,"Place the grinding stone leaves, drinking water bottles, discard the scaffolding."
วิธีการติดต่อสื่อสารระHoleWatchผู้ปฏิบัติงานด้านในCSEEffective,How to communicate with HoleWatch operators inside CSEEffective,HOT,RNC,Unsafe Action,CSE,วิธีการติดต่อสื่อสารระHoleWatchผู้ปฏิบัติงานด้านในCSEEffective,How to communicate with HoleWatch operators inside CSEEffective
สวมใส่หน้ากาป้องกันฝุ่นเหมาะสมลักษณะงาน,Wear a dust mask suitable for the job description.,HOT,RNC,Unsafe Action,PPE,สวมใส่หน้ากาป้องกันฝุ่นเหมาะสมลักษณะงาน,Wear a dust mask suitable for the job description.
ตรวจสอบงานhotworkclassIงานทีอับอากาศพบมีช่างเชื่อมFW,Check hotworkclassI work. Confined work. Found a welder. FW,Interpipe,RNC,Unsafe Action,CSE,ตรวจสอบงานhotworkclassIงานทีอับอากาศพบมีช่างเชื่อมFW,Check hotworkclassI work. Confined work. Found a welder. FW
ผู้ปฏิบัติงานใช้เครื่องเจียรเจียรท่อมีHandle,The operator uses a pipe grinder with a handle.,Interpipe,RNC,Unsafe Action,Hot Work,ผู้ปฏิบัติงานใช้เครื่องเจียรเจียรท่อมีHandle,The operator uses a pipe grinder with a handle.
มีงานเชื่อมจุดHOTBOXมีFWคน,There is a job to connect the HOTBOX point. There is a FW person.,Interpipe,RNC,Unsafe Action,Hot Work,มีงานเชื่อมจุดHOTBOXมีFWคน,There is a job to connect the HOTBOX point. There is a FW person.
ปิดล้อมผ้าไฟครอบคลุมผูกมัดผ้าไฟใช้ผู้ปฏิบัติงานคนอื่นจับผ้าไฟ,Enclosed fire cloth to cover bonded fire cloth used by other operators to catch fire cloth.,OCU,RNC,Unsafe Action,Hot Work,ปิดล้อมผ้าไฟครอบคลุมผูกมัดผ้าไฟใช้ผู้ปฏิบัติงานคนอื่นจับผ้าไฟ,Enclosed fire cloth to cover bonded fire cloth used by other operators to catch fire cloth.
Holewatchสวมใส่หมวกตรงตำแหน่งหมวกสีแดง,Holewatch wears a hat in the red hat position.,Olefins2,RNC,Unsafe Action,CSE,Holewatchสวมใส่หมวกตรงตำแหน่งหมวกสีแดง,Holewatch wears a hat in the red hat position.
เปิดWorksitesurveyนำทีมงานคนหน้างานมีระบุเอกสาร,"Open Worksitesurvey, bring a team of workers in front of the job to have specified documents.",Olefins2,RNC,Unsafe Action,PTW & JSA,เปิดWorksitesurveyนำทีมงานคนหน้างานมีระบุเอกสาร,"Open Worksitesurvey, bring a team of workers in front of the job to have specified documents."
ใช้หน้ากากอนามัยงานตักcokeใส่ถุงBigbag,Use a mask to scoop coke into a Bigbag.,Olefins2,RNC,Unsafe Action,PPE,ใช้หน้ากากอนามัยงานตักcokeใส่ถุงBigbag,Use a mask to scoop coke into a Bigbag.
ตรวจสอบDailychecklistGenerator,Check DailychecklistGenerator,Olefins2,RNC,Unsafe Action,Tools & Equipment,ตรวจสอบDailychecklistGenerator,Check DailychecklistGenerator
มีเครื่องวัดแก๊สStandbyหน้างาน(พบช่วงเตรียมงาน,There is a standby gas meter in front of the event (found during the preparatory work,Olefins2,RNC,Unsafe Action,Hot Work,มีเครื่องวัดแก๊สStandbyหน้างาน(พบช่วงเตรียมงาน,There is a standby gas meter in front of the event (found during the preparatory work
สวมใส่Goggleขณะปฏิบัติงาน,Wear a goggle while working.,Olefins2,RNC,Unsafe Action,Insulation,สวมใส่Goggleขณะปฏิบัติงาน,Wear a goggle while working.
สวมใส่ชุดTyvekทำงาน,Wear a Tyvek suit to work.,Olefins2,RNC,Unsafe Action,Insulation,สวมใส่ชุดTyvekทำงาน,Wear a Tyvek suit to work.
งานเชื่อมติดตั้งsupportมีFirewatchmanหน้างาน,"Welding work, installation, support, there is Firewatchman in front of the event.",Olefins2,RNC,Unsafe Action,Hot Work,งานเชื่อมติดตั้งsupportมีFirewatchmanหน้างาน,"Welding work, installation, support, there is Firewatchman in front of the event."
งานถอดประกอบSwingBlindผู้ปฏิบัติงานยืนปฏิบัติงานบริเวณLineoffire,SwingBlind disassembly. Operators stand at the Lineoffire area.,Olefins2,RNC,Unsafe Action,Installation/ Alignment,งานถอดประกอบSwingBlindผู้ปฏิบัติงานยืนปฏิบัติงานบริเวณLineoffire,SwingBlind disassembly. Operators stand at the Lineoffire area.
งานถอดประกอบอุปกรณ์มีการนำขวดน้ำอัดลมบรรจุน้ำยาล้างจาน,The disassembly of the equipment is to bring a bottle of soft drink filled with dishwashing liquid.,Olefins2,RNC,Unsafe Action,Installation/ Alignment,งานถอดประกอบอุปกรณ์มีการนำขวดน้ำอัดลมบรรจุน้ำยาล้างจาน,The disassembly of the equipment is to bring a bottle of soft drink filled with dishwashing liquid.
ทีมงานนำขวดน้ำใส่ด้านหลังกระเป๋ากางเกงเสี่ยงการตกเดินบันไดนั่งร้าน,"The team put a water bottle in the back of the pants pocket, risking falling, walking the stairway of the scaffolding.",Olefins2,RNC,Unsafe Action,Work at height,ทีมงานนำขวดน้ำใส่ด้านหลังกระเป๋ากางเกงเสี่ยงการตกเดินบันไดนั่งร้าน,"The team put a water bottle in the back of the pants pocket, risking falling, walking the stairway of the scaffolding."
วางชุดNormaxFirehosebox,Place the Normax Firehosebox set.,Olefins2,RNC,Unsafe Action,Housekeeping,วางชุดNormaxFirehosebox,Place the Normax Firehosebox set.
PPEเหมาะสมงานbluffflange,PPE is suitable for bluffflange work.,Olefins2,RNC,Unsafe Action,PPE,PPEเหมาะสมงานbluffflange,PPE is suitable for bluffflange work.
หลังน.เริ่มทำงานเจ้าของพื้นที่ได้signwork,"After a.m. start working, the owner of the area has signwork.",Olefins2,RNC,Unsafe Action,Work Procedure,หลังน.เริ่มทำงานเจ้าของพื้นที่ได้signwork,"After a.m. start working, the owner of the area has signwork."
JSAระบุมีการใช้ชุดหนังป้องกันสะเก็ดไฟซึ่งหน้างานมี,The JSA stated that the fire protective leather suit was used on the site.,HOT,"RNC, REPCO (MES)",Unsafe Action,PTW & JSA,JSAระบุมีการใช้ชุดหนังป้องกันสะเก็ดไฟซึ่งหน้างานมี,The JSA stated that the fire protective leather suit was used on the site.
ตรวจสอบSafeWorkCertงานWAHเป็นไปตามหน้างานเรื่องการใช้บันไดบันไดเอ,Check SafeWorkCert. WAH work is according to the job site about using a ladder ladder.,HOT,"RNC, REPCO (MES)",Unsafe Action,PTW & JSA,ตรวจสอบSafeWorkCertงานWAHเป็นไปตามหน้างานเรื่องการใช้บันไดบันไดเอ,Check SafeWorkCert. WAH work is according to the job site about using a ladder ladder.
MarkจุดปฏิบัติงานPlotplanเป็นArea,Mark the Plotplan operation point as Area.,Olefins2,RSC,Unsafe Action,PTW & JSA,MarkจุดปฏิบัติงานPlotplanเป็นArea,Mark the Plotplan operation point as Area.
งานติดตั้งนั่งร้านผู้ปฏิบัติงานคล้องHook,"Installation of scaffolding, operators attach a hook",Olefins2,RSC,Unsafe Action,Work at height,งานติดตั้งนั่งร้านผู้ปฏิบัติงานคล้องHook,"Installation of scaffolding, operators attach a hook"
WAHChecklistCertใบมีการเปลี่ยนสถานที่ปฏิบัติงานเปลี่ยนCondition,"WAHChecklistCert has to change the location, change the Condition.",Olefins2,RSC,Unsafe Action,Work at height,WAHChecklistCertใบมีการเปลี่ยนสถานที่ปฏิบัติงานเปลี่ยนCondition,"WAHChecklistCert has to change the location, change the Condition."
